hero_id,total,picks,bans,first_pick,first_ban,second_pick,second_ban,third_pick,third_ban,winrate,pick_winrate,ban_winrate
106,323,132,191,48,98,46,63,38,30,0.479876160990712,0.537878787878788,0.43979057591623
79,308,141,167,78,138,54,28,9,1,0.529220779220779,0.531914893617021,0.526946107784431
66,262,61,201,42,194,16,6,3,1,0.511450381679389,0.622950819672131,0.477611940298507
76,250,57,193,0,50,16,93,41,50,0.552,0.526315789473684,0.559585492227979
68,247,101,146,52,107,41,36,8,3,0.582995951417004,0.524752475247525,0.623287671232877
57,245,76,169,29,127,29,31,18,11,0.43265306122449,0.473684210526316,0.414201183431953
96,232,113,119,43,83,48,33,22,3,0.508620689655172,0.504424778761062,0.512605042016807
52,212,88,124,14,70,43,35,31,19,0.476415094339623,0.454545454545455,0.491935483870968
73,210,47,163,9,113,18,33,20,17,0.509523809523809,0.574468085106383,0.49079754601227
91,208,45,163,29,158,13,5,3,0,0.4375,0.644444444444444,0.380368098159509
54,201,82,119,0,3,28,92,54,24,0.502487562189055,0.5,0.504201680672269
121,201,115,86,34,63,72,21,9,2,0.492537313432836,0.443478260869565,0.558139534883721
58,197,50,147,28,139,12,6,10,2,0.477157360406091,0.56,0.448979591836735
42,194,113,81,11,26,48,43,54,12,0.541237113402062,0.539823008849557,0.54320987654321
23,194,70,124,7,39,27,42,36,43,0.536082474226804,0.514285714285714,0.548387096774194
18,188,92,96,9,31,34,49,49,16,0.569148936170213,0.456521739130435,0.677083333333333
10,188,57,131,7,51,20,61,30,19,0.515957446808511,0.508771929824561,0.519083969465649
71,187,73,114,35,100,34,13,4,1,0.502673796791444,0.506849315068493,0.5
86,186,106,80,33,55,55,24,18,1,0.516129032258065,0.528301886792453,0.5
33,181,64,117,29,104,14,10,21,3,0.49171270718232,0.53125,0.47008547008547
97,159,42,117,16,104,18,11,8,2,0.490566037735849,0.5,0.487179487179487
19,153,95,58,17,37,59,17,19,4,0.535947712418301,0.557894736842105,0.5
89,146,34,112,0,14,10,79,24,19,0.513698630136986,0.470588235294118,0.526785714285714
43,146,73,73,1,15,23,29,49,29,0.493150684931507,0.479452054794521,0.506849315068493
65,145,35,110,2,34,10,61,23,15,0.475862068965517,0.457142857142857,0.481818181818182
103,142,82,60,46,51,33,9,3,0,0.542253521126761,0.560975609756098,0.516666666666667
9,140,46,94,21,86,20,8,5,0,0.521428571428571,0.521739130434783,0.521276595744681
37,140,64,76,25,60,30,14,9,2,0.507142857142857,0.46875,0.539473684210526
8,138,78,60,2,1,31,42,45,17,0.528985507246377,0.487179487179487,0.583333333333333
93,135,56,79,0,2,13,58,43,19,0.57037037037037,0.517857142857143,0.607594936708861
25,133,68,65,3,24,28,14,37,27,0.451127819548872,0.397058823529412,0.507692307692308
72,133,79,54,5,36,36,16,38,2,0.586466165413534,0.594936708860759,0.574074074074074
84,128,64,64,36,62,21,1,7,1,0.484375,0.4375,0.53125
38,126,62,64,6,28,27,25,29,11,0.507936507936508,0.580645161290323,0.4375
29,124,72,52,18,15,35,28,19,9,0.556451612903226,0.583333333333333,0.519230769230769
16,118,77,41,13,14,38,20,26,7,0.508474576271186,0.493506493506494,0.536585365853659
17,116,55,61,0,3,9,32,46,26,0.568965517241379,0.490909090909091,0.639344262295082
111,113,51,62,15,24,30,30,6,8,0.513274336283186,0.509803921568627,0.516129032258065
27,106,81,25,8,7,59,12,14,6,0.547169811320755,0.506172839506173,0.68
55,104,39,65,9,32,17,30,13,3,0.471153846153846,0.538461538461538,0.430769230769231
61,104,20,84,0,19,4,33,16,32,0.576923076923077,0.5,0.595238095238095
2,101,56,45,4,15,25,19,27,11,0.534653465346535,0.625,0.422222222222222
98,96,40,56,0,11,15,31,25,14,0.479166666666667,0.475,0.482142857142857
39,90,47,43,0,0,2,15,45,28,0.5,0.51063829787234,0.488372093023256
95,87,46,41,1,1,9,31,36,9,0.471264367816092,0.456521739130435,0.48780487804878
88,86,40,46,8,21,27,24,5,1,0.5,0.575,0.434782608695652
5,86,67,19,22,15,41,0,4,4,0.581395348837209,0.552238805970149,0.684210526315789
41,82,37,45,0,1,11,27,26,17,0.439024390243902,0.513513513513513,0.377777777777778
7,79,55,24,4,2,31,18,20,4,0.443037974683544,0.472727272727273,0.375
15,79,32,47,0,5,7,20,25,22,0.531645569620253,0.46875,0.574468085106383
129,79,46,33,5,12,28,16,13,5,0.481012658227848,0.5,0.454545454545455
119,73,42,31,14,26,23,3,5,2,0.506849315068493,0.571428571428571,0.419354838709677
94,70,27,43,0,3,0,18,27,22,0.442857142857143,0.518518518518518,0.395348837209302
83,68,25,43,10,34,12,8,3,1,0.602941176470588,0.68,0.558139534883721
99,64,31,33,0,18,11,7,20,8,0.53125,0.451612903225806,0.606060606060606
46,62,32,30,0,4,4,13,28,13,0.483870967741935,0.65625,0.3
1,61,26,35,0,0,0,19,26,16,0.491803278688525,0.5,0.485714285714286
69,59,28,31,0,9,17,12,11,10,0.474576271186441,0.428571428571429,0.516129032258065
74,55,32,23,5,4,10,9,17,10,0.418181818181818,0.5,0.304347826086957
107,54,40,14,1,7,29,4,10,3,0.481481481481481,0.45,0.571428571428571
120,53,34,19,1,9,12,8,21,2,0.415094339622642,0.382352941176471,0.473684210526316
13,52,23,29,1,0,7,9,15,20,0.519230769230769,0.391304347826087,0.620689655172414
45,46,19,27,0,1,2,14,17,12,0.41304347826087,0.473684210526316,0.37037037037037
75,45,32,13,7,7,20,3,5,3,0.4,0.375,0.461538461538462
3,44,31,13,1,2,27,10,3,1,0.545454545454545,0.580645161290323,0.461538461538462
50,43,20,23,3,6,7,11,10,6,0.534883720930233,0.55,0.521739130434783
80,43,11,32,0,15,1,11,10,6,0.441860465116279,0.181818181818182,0.53125
104,42,24,18,0,2,6,10,18,6,0.428571428571429,0.416666666666667,0.444444444444444
114,40,19,21,0,0,4,7,15,14,0.475,0.526315789473684,0.428571428571429
113,40,16,24,0,1,0,11,16,12,0.4,0.4375,0.375
67,39,17,22,0,0,1,11,16,11,0.41025641025641,0.411764705882353,0.409090909090909
64,38,36,2,1,0,23,2,12,0,0.368421052631579,0.361111111111111,0.5
21,37,27,10,1,0,5,3,21,7,0.486486486486487,0.555555555555556,0.3
82,36,9,27,0,4,0,9,9,14,0.611111111111111,0.666666666666667,0.592592592592593
30,34,31,3,7,1,20,2,4,0,0.411764705882353,0.419354838709677,0.333333333333333
112,34,21,13,2,1,13,7,6,5,0.470588235294118,0.523809523809524,0.384615384615385
35,33,20,13,0,0,0,3,20,10,0.545454545454545,0.5,0.615384615384615
11,32,18,14,1,0,1,1,16,13,0.40625,0.388888888888889,0.428571428571429
102,30,24,6,2,1,8,3,14,2,0.566666666666667,0.625,0.333333333333333
53,27,14,13,2,9,6,2,6,2,0.444444444444444,0.571428571428571,0.307692307692308
26,26,21,5,0,0,16,5,5,0,0.5,0.523809523809524,0.4
49,24,20,4,0,0,0,1,20,3,0.583333333333333,0.6,0.5
105,24,3,21,0,19,3,2,0,0,0.375,0,0.428571428571429
87,24,22,2,4,0,16,1,2,1,0.375,0.363636363636364,0.5
36,23,14,9,0,0,0,4,14,5,0.434782608695652,0.357142857142857,0.555555555555556
110,23,19,4,4,2,9,0,6,2,0.521739130434783,0.526315789473684,0.5
44,21,16,5,1,0,2,5,13,0,0.476190476190476,0.5,0.4
100,21,16,5,0,0,10,3,6,2,0.476190476190476,0.5,0.4
85,20,16,4,1,1,10,1,5,2,0.55,0.5625,0.5
28,19,11,8,0,0,3,5,8,3,0.631578947368421,0.636363636363636,0.625
70,19,11,8,0,0,1,1,10,7,0.578947368421053,0.454545454545455,0.75
63,18,12,6,0,0,0,5,12,1,0.444444444444444,0.333333333333333,0.666666666666667
109,18,13,5,0,0,0,4,13,1,0.611111111111111,0.615384615384615,0.6
60,16,8,8,0,0,1,3,7,5,0.5625,0.5,0.625
78,15,8,7,1,2,3,3,4,2,0.333333333333333,0.125,0.571428571428571
34,14,9,5,0,0,1,4,8,1,0.571428571428571,0.555555555555556,0.6
12,14,11,3,0,0,0,2,11,1,0.571428571428571,0.454545454545455,1
4,14,6,8,0,0,1,7,5,1,0.428571428571429,0.5,0.375
59,14,6,8,0,0,0,4,6,4,0.642857142857143,0.333333333333333,0.875
31,11,10,1,0,0,9,1,1,0,0.363636363636364,0.3,1
22,9,5,4,0,1,1,0,4,3,0.222222222222222,0,0.5
92,9,5,4,2,2,1,1,2,1,0.555555555555556,0.6,0.5
51,9,5,4,0,1,1,1,4,2,0.222222222222222,0,0.5
40,9,8,1,0,0,2,0,6,1,0.222222222222222,0.25,0
47,9,6,3,0,0,0,2,6,1,0.444444444444444,0.333333333333333,0.666666666666667
56,8,7,1,0,0,1,1,6,0,0.375,0.285714285714286,1
20,8,8,0,0,0,6,0,2,0,0.375,0.375,
81,8,5,3,0,0,0,2,5,1,0.625,0.6,0.666666666666667
90,7,5,2,0,0,4,2,1,0,0.285714285714286,0.2,0.5
108,6,6,0,0,0,1,0,5,0,0.5,0.5,
14,6,5,1,0,1,2,0,3,0,0.333333333333333,0.2,1
77,6,2,4,0,0,0,1,2,3,0.333333333333333,0,0.5
101,6,6,0,0,0,4,0,2,0,0.666666666666667,0.666666666666667,
62,6,4,2,2,1,1,1,1,0,0.166666666666667,0,0.5
32,5,5,0,0,0,1,0,4,0,0.6,0.6,
6,4,3,1,0,0,0,0,3,1,0.25,0,1
48,2,2,0,0,0,2,0,0,0,0.5,0.5,