name,AVG Duration,count,winrate,winrate_wilson,sum,min,max,stddev
TNC Predator,3058.3333333333333333,21,0.476190476190476,0.383198386273347,321125,1980,5189,838.388124579480
compLexity Gaming,2894.2857142857142857,7,0.285714285714286,0.163263633982956,101300,2442,3446,372.507289421655
Vega Squadron,2825.9375000000000000,16,0.6875,0.579320182179261,226075,1994,4046,633.568701753624
Nemiga Gaming,2710.0000000000000000,7,0.428571428571429,0.279843330816789,94850,1637,3877,864.847487404911
Team Ham,2707.5714285714285714,7,0.428571428571429,0.279843330816789,94765,1861,4350,777.287678053487
SG e-sports,2688.0000000000000000,7,0.142857142857143,0.062601388048535,94080,1471,4446,905.664202151561
Team Aster,2669.2222222222222222,9,0.444444444444444,0.309387085490391,120115,1663,3614,678.728051340718
Team Spirit,2657.4285714285714286,7,0.142857142857143,0.062601388048535,93010,1920,3685,673.252390647523
AMPLFY,2656.1666666666666667,12,0.5,0.377348124272463,159370,1937,4323,703.050114342382
Team EVOS,2598.8571428571428571,7,0.285714285714286,0.163263633982956,90960,1517,4323,912.048023208567
Vici Gaming,2573.0869565217391304,23,0.565217391304348,0.47395597621737,295905,1312,4602,806.430238281242
Winstrike Team,2571.4666666666666667,15,0.533333333333333,0.421573391527803,192860,1857,4046,710.677528524400
Evil Geniuses,2513.5000000000000000,24,0.5,0.411937137430229,301620,1674,4934,737.693999551840
Natus Vincere,2510.2222222222222222,36,0.527777777777778,0.455028941847711,451840,1570,4934,720.026035807626
KEEN GAMING,2501.0000000000000000,17,0.294117647058824,0.20785389608178,212585,1382,4190,782.915415366850
Gorillaz-Pride,2500.7142857142857143,7,0.285714285714286,0.163263633982956,87525,1382,4350,851.048957305684
FlyToMoon,2472.7142857142857143,7,0.285714285714286,0.163263633982956,86545,1570,3467,711.786012598655
EHOME,2459.5000000000000000,16,0.5,0.392972274311075,196760,1418,5492,1035.706754353112
Alliance,2454.0000000000000000,17,0.470588235294118,0.368059919703568,208590,1310,3787,653.814357662566
Hippomaniacs,2450.6153846153846154,13,0.615384615384615,0.493839801314351,159290,1704,3266,538.856941019242
496 Gaming,2447.7142857142857143,7,0.428571428571429,0.279843330816789,85670,1871,3118,408.169772307076
Team Liquid,2441.7500000000000000,32,0.5625,0.485058796380544,390680,1337,4685,777.679866553563
Virtus.pro,2437.7500000000000000,20,0.4,0.309399746113603,243775,1294,3261,477.194650900956
Fnatic,2431.3529411764705882,17,0.411764705882353,0.313168386238688,206665,1656,3811,547.674405921950
Furia,2406.4285714285714286,7,0.285714285714286,0.163263633982956,84225,1645,3273,593.764128536016
The Final Tribe,2406.3750000000000000,16,0.5625,0.45340937868657,192510,1460,3269,592.110457857145
PSG.LGD,2395.3076923076923077,26,0.730769230769231,0.648706976694741,311390,1347,4071,633.456909765390
Newbee,2373.7209302325581395,43,0.627906976744186,0.561580367378071,510350,1386,5492,846.141498671961
J.Storm,2372.0555555555555556,18,0.611111111111111,0.507822684545394,213485,1473,4156,630.439963391201
Team Empire,2369.8333333333333333,12,0.416666666666667,0.300640864878718,142190,1461,3436,630.301627193630
"CDEC ",2366.7777777777777778,18,0.666666666666667,0.564221243391837,213010,1528,4084,757.262407991314
paiN Gaming,2356.8666666666666667,15,0.6,0.486878321600766,176765,1132,4024,740.009027215453
Team Singularity,2344.5714285714285714,7,0.428571428571429,0.279843330816789,82060,2002,2795,240.392973093235
Kookaburra,2339.4545454545454545,11,0.363636363636364,0.249303493429408,128670,1399,4156,759.625439332312
Team Xolotl,2315.4285714285714286,7,0.142857142857143,0.062601388048535,81040,1472,2835,477.964697546629
Team Secret,2311.2500000000000000,28,0.642857142857143,0.560643483558782,323575,1195,3790,758.913205575659
Ninjas in Pyjamas,2308.5625000000000000,16,0.1875,0.117052078127284,184685,1430,3811,550.448720148079
Royal Never Give Up,2284.9500000000000000,40,0.525,0.45597270710507,456990,908,4685,584.704235245109
Adroit,2284.0000000000000000,16,0.5,0.392972274311075,182720,1501,3140,440.135048319824
BOOM ID,2283.8571428571428571,7,0.428571428571429,0.279843330816789,79935,1692,3302,509.169285547094
EGOBOYS,2283.6153846153846154,13,0.461538461538462,0.345901371499367,148435,935,4446,881.078311153223
Anti-MagE-,2281.3750000000000000,8,0.5,0.351992787970998,91255,1295,3006,531.937662026342
Chaos EC,2276.4285714285714286,35,0.485714285714286,0.412769353366333,398375,790,5189,833.938456814227
Team Sirius,2235.7142857142857143,7,0.142857142857143,0.062601388048535,78250,1460,4084,858.388489158218
RESURGENCE,2228.4285714285714286,7,0.142857142857143,0.062601388048535,77995,1543,3424,638.487840674414
Mineski,2210.8378378378378378,37,0.567567567567568,0.49551942758568,409005,1195,3653,588.239013160463
Team Jinesbrus,2207.7368421052631579,19,0.631578947368421,0.531229380107252,209735,1238,3377,554.569973531847
Thunder Predator,2202.2727272727272727,11,0.454545454545455,0.330250717464462,121125,1586,3036,427.402163573852
Infamous Gaming,2175.9743589743589744,39,0.615384615384615,0.545496494051322,424315,908,4024,768.699379765947
beastcoast,2158.1538461538461538,13,0.538461538461538,0.418531873986235,140280,1386,3357,502.022759405924
Black Sheep!,2147.7142857142857143,7,0.428571428571429,0.279843330816789,75170,1532,3446,593.904506655077
Gambit Esports,2108.0000000000000000,7,0.428571428571429,0.279843330816789,73780,1461,3467,611.122881645409
INVICTUS GAMING,2076.1818181818181818,11,0.545454545454545,0.415224613483605,114190,1418,3090,455.863612275243
Team Serenity,2055.1428571428571429,7,0.142857142857143,0.062601388048535,71930,1528,2461,323.201552746083
OG,2053.7500000000000000,28,0.821428571428571,0.749668212574977,287525,1179,2914,459.220611627881
six eight two,2051.0000000000000000,2,0.5,0.236589593615487,20510,1930,2172,127.545198960125
Old Suck Gaming,1987.6666666666666667,6,0,-1.23024217009371e-17,59630,1430,2529,437.932315139769
Bald,1916.4000000000000000,5,0,0,47910,1295,2567,416.687632805839